date,MIR
2025-10,2.72
2025-09,2.8
2025-08,2.84
2025-07,2.84
2025-06,3.01
2025-05,3.03
2025-04,3.13
2025-03,3.09
2025-02,3.06
2025-01,3.23
2024-12,3.31
2024-11,3.41
2024-10,3.65
2024-09,3.82
2024-08,4.06
2024-07,4.44
2024-06,4.44
2024-05,4.49
2024-04,4.73
2024-03,4.75
2024-02,4.69
2024-01,4.7
2023-12,4.76
2023-11,4.82
2023-10,4.8
2023-09,4.7
2023-08,4.61
2023-07,4.52
2023-06,4.39
2023-05,4.26
2023-04,4.09
2023-03,4.03
2023-02,3.88
2023-01,3.63
2022-12,3.48
2022-11,3.48
2022-10,3.4
2022-09,3.14
2022-08,2.74
2022-07,2.51
2022-06,2.31
2022-05,2.14
2022-04,1.85
2022-03,1.61
2022-02,1.49
2022-01,1.43
2021-12,1.37
2021-11,1.35
2021-10,1.32
2021-09,1.33
2021-08,1.33
2021-07,1.36
2021-06,1.37
2021-05,1.35
2021-04,1.37
2021-03,1.37
2021-02,1.35
2021-01,1.37
2020-12,1.36
2020-11,1.38
2020-10,1.43
2020-09,1.48
2020-08,1.5
2020-07,1.51
2020-06,1.53
2020-05,1.54
2020-04,1.54
2020-03,1.53
2020-02,1.55
2020-01,1.52
2019-12,1.48
2019-11,1.46
2019-10,1.43
2019-09,1.5
2019-08,1.52
2019-07,1.53
2019-06,1.52
2019-05,1.52
2019-04,1.54
2019-03,1.56
2019-02,1.57
2019-01,1.58
2018-12,1.49
2018-11,1.46
2018-10,1.47
2018-09,1.49
2018-08,1.46
2018-07,1.48
2018-06,1.49
2018-05,1.49
2018-04,1.54
2018-03,1.56
2018-02,1.55
2018-01,1.55
2017-12,1.57
2017-11,1.57
2017-10,1.57
2017-09,1.58
2017-08,1.58
2017-07,1.58
2017-06,1.57
2017-05,1.57
2017-04,1.6
2017-03,1.59
2017-02,1.58
2017-01,1.58
2016-12,1.57
2016-11,1.57
2016-10,1.59
2016-09,1.6
2016-08,1.59
2016-07,1.61
2016-06,1.62
2016-05,1.6
2016-04,1.61
2016-03,1.61
2016-02,1.6
2016-01,1.63
2015-12,1.62
2015-11,1.59
2015-10,1.6
2015-09,1.58
2015-08,1.59
2015-07,1.61
2015-06,1.63
2015-05,1.66
2015-04,1.67
2015-03,1.74
2015-02,1.81
2015-01,1.89
2014-12,1.93
2014-11,1.93
2014-10,2.08
2014-09,2.17
2014-08,2.17
2014-07,2.22
2014-06,2.39
2014-05,2.42
2014-04,2.43
2014-03,2.44
2014-02,2.45
2014-01,2.46
2013-12,2.56
2013-11,2.64
2013-10,2.72
2013-09,2.74
2013-08,2.73
2013-07,2.74
2013-06,2.73
2013-05,2.76
2013-04,2.85
2013-03,2.88
2013-02,2.89
2013-01,2.89
2012-12,2.97
2012-11,3.05
2012-10,3.15
2012-09,3.33
2012-08,3.52
2012-07,3.58
2012-06,3.62
2012-05,3.67
2012-04,3.74
2012-03,3.77
2012-02,3.84
2012-01,3.91
2011-12,4.07
2011-11,3.93
2011-10,3.93
2011-09,3.83
2011-08,3.92
2011-07,4.02
2011-06,3.98
2011-05,3.9
2011-04,3.9
2011-03,3.83
2011-02,3.61
2011-01,3.42
2010-12,3.2
2010-11,2.9
2010-10,2.82
2010-09,2.71
2010-08,2.49
2010-07,2.4
2010-06,2.27
2010-05,1.96
2010-04,1.94
2010-03,1.92
2010-02,1.82
2010-01,1.78
2009-12,1.73
2009-11,1.67
2009-10,1.71
2009-09,1.79
2009-08,1.82
2009-07,1.91
2009-06,2.17
2009-05,2.06
2009-04,2.08
2009-03,2.35
2009-02,2.55
2009-01,3.3
2008-12,3.95
2008-11,5.38
2008-10,5.82
2008-09,6.05
2008-08,5.74
2008-07,5.81
2008-06,5.61
2008-05,5.28
2008-04,5.21
2008-03,5.12
2008-02,5.02
2008-01,4.95
2007-12,5.04
2007-11,4.99
2007-10,4.9
2007-09,4.81
2007-08,4.64
2007-07,4.62
2007-06,4.56
2007-05,4.41
2007-04,4.33
2007-03,4.23
2007-02,4.24
2007-01,4.16
2006-12,4.06
2006-11,3.92
2006-10,3.84
2006-09,3.85
2006-08,3.69
2006-07,3.59
2006-06,3.51
2006-05,3.32
2006-04,3.34
2006-03,3.31
2006-02,3.19
2006-01,3.19
