date,arbetsloshet
2025M11,8.2
2025M10,8.9
2025M09,8.3
2025M08,8.4
2025M07,8.0
2025M06,9.4
2025M05,9.7
2025M04,8.9
2025M03,8.5
2025M02,9.4
2025M01,10.4
2024M12,8.0
2024M11,7.4
2024M10,7.8
2024M09,8.2
2024M08,7.9
2024M07,7.7
2024M06,9.4
2024M05,8.7
2024M04,8.9
2024M03,9.2
2024M02,8.5
2024M01,8.5
2023M12,7.7
2023M11,7.1
2023M10,7.4
2023M09,7.7
2023M08,7.7
2023M07,6.2
2023M06,9.3
2023M05,7.9
2023M04,7.5
2023M03,7.7
2023M02,8.2
2023M01,7.6
2022M12,6.9
2022M11,6.4
2022M10,7.1
2022M09,6.5
2022M08,6.6
2022M07,6.5
2022M06,8.6
2022M05,8.5
2022M04,8.2
2022M03,8.2
2022M02,7.9
2022M01,8.4
2021M12,7.4
2021M11,7.6
2021M10,7.7
2021M09,8.4
2021M08,8.6
2021M07,8.0
2021M06,10.5
2021M05,9.8
2021M04,9.4
2021M03,10.2
2021M02,9.7
2021M01,9.4
2020M12,8.5
2020M11,7.8
2020M10,8.0
2020M09,8.4
2020M08,9.0
2020M07,9.1
2020M06,10.0
2020M05,9.2
2020M04,8.5
2020M03,7.3
2020M02,8.3
2020M01,7.7
2019M12,6.2
2019M11,7.0
2019M10,6.2
2019M09,6.1
2019M08,7.0
2019M07,7.0
2019M06,7.3
2019M05,7.3
2019M04,6.9
2019M03,7.8
2019M02,7.4
2019M01,6.7
2018M12,6.2
2018M11,6.0
2018M10,5.8
2018M09,5.9
2018M08,6.1
2018M07,6.2
2018M06,7.3
2018M05,6.6
2018M04,6.9
2018M03,6.6
2018M02,6.4
2018M01,7.2
2017M12,6.2
2017M11,5.9
2017M10,6.4
2017M09,6.3
2017M08,6.1
2017M07,6.6
2017M06,7.4
2017M05,7.3
2017M04,7.3
2017M03,6.9
2017M02,7.5
2017M01,7.5
2016M12,6.6
2016M11,6.3
2016M10,6.5
2016M09,6.2
2016M08,6.7
2016M07,6.4
2016M06,7.7
2016M05,7.7
2016M04,7.4
2016M03,7.9
2016M02,7.7
2016M01,7.6
2015M12,6.8
2015M11,6.4
2015M10,6.8
2015M09,6.8
2015M08,6.5
2015M07,6.6
2015M06,8.6
2015M05,8.1
2015M04,8.5
2015M03,8.1
2015M02,8.5
2015M01,8.5
2014M12,7.1
2014M11,7.5
2014M10,7.6
2014M09,7.3
2014M08,7.5
2014M07,7.2
2014M06,9.3
2014M05,8.1
2014M04,8.8
2014M03,8.7
2014M02,8.6
2014M01,8.8
2013M12,7.6
2013M11,7.6
2013M10,7.4
2013M09,7.6
2013M08,7.4
2013M07,7.3
2013M06,9.2
2013M05,8.3
2013M04,8.9
2013M03,8.9
2013M02,8.6
2013M01,8.5
2012M12,7.7
2012M11,7.9
2012M10,7.6
2012M09,7.7
2012M08,7.6
2012M07,7.5
2012M06,9.1
2012M05,8.7
2012M04,8.1
2012M03,8.1
2012M02,8.3
2012M01,8.5
2011M12,7.4
2011M11,7.2
2011M10,7.3
2011M09,7.1
2011M08,7.1
2011M07,7.3
2011M06,9.3
2011M05,8.2
2011M04,8.3
2011M03,8.5
2011M02,8.3
2011M01,8.5
2010M12,7.7
2010M11,7.5
2010M10,7.8
2010M09,8.0
2010M08,7.7
2010M07,8.3
2010M06,9.7
2010M05,9.2
2010M04,9.9
2010M03,9.5
2010M02,9.4
2010M01,9.7
2009M12,8.7
2009M11,8.2
2009M10,8.3
2009M09,8.4
2009M08,8.0
2009M07,8.0
2009M06,9.9
2009M05,9.2
2009M04,8.4
2009M03,8.4
2009M02,8.1
2009M01,7.4
2008M12,6.5
2008M11,6.4
2008M10,5.8
2008M09,6.0
2008M08,5.3
2008M07,5.9
2008M06,8.2
2008M05,6.0
2008M04,6.1
2008M03,6.4
2008M02,6.2
2008M01,6.5
2007M12,5.7
2007M11,5.3
2007M10,5.8
2007M09,5.7
2007M08,5.4
2007M07,5.5
2007M06,7.9
2007M05,6.2
2007M04,6.6
2007M03,7.1
2007M02,6.6
2007M01,7.1
2006M12,6.2
2006M11,6.0
2006M10,6.2
2006M09,6.2
2006M08,6.5
2006M07,6.6
2006M06,8.6
2006M05,7.5
2006M04,8.2
2006M03,8.1
2006M02,7.5
2006M01,8.4
2005M12,7.5
2005M11,6.7
2005M10,7.5
2005M09,7.1
2005M08,7.4
2005M07,7.7
2005M06,9.6
2005M05,8.3
2005M04,8.0
2005M03,8.0
2005M02,8.6
2005M01,8.5
2004M12,7.3
2004M11,7.1
2004M10,6.7
2004M09,7.5
2004M08,6.9
2004M07,6.8
2004M06,8.8
2004M05,8.0
2004M04,7.5
2004M03,8.0
2004M02,8.0
2004M01,7.6
2003M12,6.9
2003M11,6.9
2003M10,6.4
2003M09,6.2
2003M08,6.5
2003M07,6.2
2003M06,7.7
2003M05,6.7
2003M04,6.6
2003M03,6.8
2003M02,6.4
2003M01,7.0
2002M12,6.1
2002M11,5.8
2002M10,5.6
2002M09,5.9
2002M08,5.5
2002M07,5.8
2002M06,6.9
2002M05,6.2
2002M04,6.2
2002M03,6.4
2002M02,6.2
2002M01,6.4
2001M12,5.7
2001M11,5.5
2001M10,5.8
2001M09,5.5
2001M08,5.5
2001M07,5.6
2001M06,6.9
2001M05,6.1
2001M04,5.9
2001M03,6.3
2001M02,6.2
2001M01,6.6
